parpre_rate,word,valence,base_rate,con
30,SENSITIVE,n,10,s
60,UNIMPORTANT,n,35,b
40,HELPLESS,n,80,b
25,ORDINARY,n,70,s
10,INTELLIGENT,p,25,s
80,INFERIOR,n,40,b
90,ANNOYING,n,60,b
40,CHEERFUL,p,50,s
50,WEAK,n,10,s
30,NEEDY,n,35,s
60,CARELESS,n,80,b
40,BORING,n,70,s
25,VALUABLE,p,25,s
10,SELFISH,n,40,s
80,CONFIDENT,p,60,s
90,ENTHUSIASTIC,p,50,s
40,AGREEABLE,p,10,b
50,INSECURE,n,35,b
30,TALENTED,p,80,b
60,MOODY,n,70,s
40,PATIENT,p,25,s
25,WITTY,p,40,s
10,EFFICIENT,p,60,s
80,COMPETENT,p,50,s
90,RESERVED,n,10,s
40,ADMIRABLE,p,35,s
50,CREATIVE,p,80,s
30,ANXIOUS,n,70,s
60,INDECISIVE,n,25,s
40,VULNERABLE,n,40,s
25,SUPPORTED,p,60,b
10,INTERESTING,p,50,s
80,HUMOROUS,p,10,s
90,LUCKY,p,35,s
40,SOCIABLE,p,80,s
50,UNHEALTHY,n,70,s
30,INATTENTIVE,n,25,s
60,PASSIVE,n,40,b
40,ORIGINAL,p,60,s
25,BRILLIANT,p,50,s
